[ 2013-01-22T16:16:07+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:31:19+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:31:19+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:31:20+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:31:28+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:31:28+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001717s ]
[ 2013-01-22T16:31:28+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001835s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002162s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002279s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000860s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000960s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001169s ]
[ 2013-01-22T16:31:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001278s ]
[ 2013-01-22T16:32:36+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:36+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001399s ]
[ 2013-01-22T16:32:36+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001502s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000884s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000987s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000933s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001036s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000940s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001044s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001004s ]
[ 2013-01-22T16:32:37+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001123s ]
[ 2013-01-22T16:32:38+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:32:38+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000926s ]
[ 2013-01-22T16:32:38+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001037s ]
[ 2013-01-22T16:37:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:37:29+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001578s ]
[ 2013-01-22T16:37:29+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001712s ]
[ 2013-01-22T16:37:29+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:29+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening '../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:30+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:37:30+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000861s ]
[ 2013-01-22T16:37:30+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000960s ]
[ 2013-01-22T16:37:30+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:30+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening '../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005761s ]
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005907s ]
[ 2013-01-22T16:37:31+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:31+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening '../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000859s ]
[ 2013-01-22T16:37:31+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000961s ]
[ 2013-01-22T16:37:31+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:37:31+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening '../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:39:38+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:39:38+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001534s ]
[ 2013-01-22T16:39:38+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001653s ]
[ 2013-01-22T16:39:38+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(./../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:39:38+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening './../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:39:39+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:39:39+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002471s ]
[ 2013-01-22T16:39:39+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002594s ]
[ 2013-01-22T16:39:39+08:00 ] /sp/ | NOTIC: [2] IndexAction::include(./../../Conf/db_config.php) [<a href='indexaction.include'>indexaction.include</a>]: failed to open stream: No such file or directory IndexAction.class.php 第 9 行.
[ 2013-01-22T16:39:39+08:00 ] /sp/ | NOTIC: [2] IndexAction::include() [<a href='function.include'>function.include</a>]: Failed opening './../../Conf/db_config.php' for inclusion (include_path='.;C:\php5\pear;D:\AppServ\www\SP\ThinkPHP/Extend/Vendor/') IndexAction.class.php 第 9 行.
[ 2013-01-22T16:40:26+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:26+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000895s ]
[ 2013-01-22T16:40:26+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000996s ]
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000964s ]
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2013-01-22T16:40:27+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001112s ]
[ 2013-01-22T16:40:51+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:51+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001046s ]
[ 2013-01-22T16:40:51+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001154s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000944s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001064s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000963s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000882s ]
[ 2013-01-22T16:40:52+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000995s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001923s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002052s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002155s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002292s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010283s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010409s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007771s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007900s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001727s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001857s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002368s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002809s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001497s ]
[ 2013-01-22T16:40:53+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001617s ]
[ 2013-01-22T16:40:54+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:54+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001368s ]
[ 2013-01-22T16:40:54+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001500s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000951s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000879s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000979s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001148s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001090s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001213s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004886s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005013s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001605s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001738s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002058s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002187s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002219s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002334s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002780s ]
[ 2013-01-22T16:40:55+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002951s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004351s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004486s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003194s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003309s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002162s ]
[ 2013-01-22T16:40:56+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002272s ]
[ 2013-01-22T16:42:11+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:12+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:12+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:12+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:12+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:13+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:13+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:13+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:42:13+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:39+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:40+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:40+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:40+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:40+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:41+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:41+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:41+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:43:41+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001441s ]
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001547s ]
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003061s ]
[ 2013-01-22T16:44:43+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003181s ]
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000983s ]
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001099s ]
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000963s ]
[ 2013-01-22T16:44:44+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001087s ]
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000888s ]
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000990s ]
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config config.php 第 19 行.
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array config.php 第 19 行.
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config IndexAction.class.php 第 11 行.
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000907s ]
[ 2013-01-22T16:46:24+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001010s ]
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config config.php 第 19 行.
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array config.php 第 19 行.
[ 2013-01-22T16:46:24+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config IndexAction.class.php 第 11 行.
[ 2013-01-22T16:46:32+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:46:32+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000883s ]
[ 2013-01-22T16:46:32+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000985s ]
[ 2013-01-22T16:46:32+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config config.php 第 19 行.
[ 2013-01-22T16:46:32+08:00 ] /sp/ | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array config.php 第 19 行.
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001010s ]
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001125s ]
[ 2013-01-22T16:46:33+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config config.php 第 19 行.
[ 2013-01-22T16:46:33+08:00 ] /sp/ | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array config.php 第 19 行.
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001135s ]
[ 2013-01-22T16:46:33+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001243s ]
[ 2013-01-22T16:46:33+08:00 ] /sp/ | NOTIC: [8] Undefined variable: config config.php 第 19 行.
[ 2013-01-22T16:46:33+08:00 ] /sp/ | NOTIC: [2] array_merge() [<a href='function.array-merge'>function.array-merge</a>]: Argument #1 is not an array config.php 第 19 行.
[ 2013-01-22T16:47:10+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:47:10+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:47:11+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:48:26+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:48:26+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000882s ]
[ 2013-01-22T16:48:26+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000985s ]
[ 2013-01-22T16:48:26+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:48:26+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000894s ]
